language,model,year,response,response1,response2,response3,response4,response5,response6,response7
English,anthropic,610," 1. Heraclius proclaimed Emperor 
2. Muhammad's first revelation
3. Sui dynasty ends 
4. Khassanid-Byzantine war resumes
5. Irish monk Saint Columbanus dies", 1. Heraclius proclaimed Emperor ,2. Muhammad's first revelation,3. Sui dynasty ends ,4. Khassanid-Byzantine war resumes,5. Irish monk Saint Columbanus dies,,
English,anthropic,610," 1. The rise of Islam 
2. The Sui dynasty conquers the Chen dynasty
3. Pope Boniface IV consecrates the Pantheon in Rome
4. The Visigoths under King Gundemar defeat the Byzantine army
5.Pepin of Landen becomes the Mayor of the Palace in Austrasia", 1. The rise of Islam ,2. The Sui dynasty conquers the Chen dynasty,3. Pope Boniface IV consecrates the Pantheon in Rome,4. The Visigoths under King Gundemar defeat the Byzantine army,5.Pepin of Landen becomes the Mayor of the Palace in Austrasia,,
English,anthropic,610," 1. Byzantine-Sassanid war starts
2. Heraclius becomes Byzantine Emperor
3. Muhammad's first revelation
4. Yang Tong becomes Emperor of Sui dynasty
5. Agathocles becomes Exarch of Ravenna", 1. Byzantine-Sassanid war starts,2. Heraclius becomes Byzantine Emperor,3. Muhammad's first revelation,4. Yang Tong becomes Emperor of Sui dynasty,5. Agathocles becomes Exarch of Ravenna,,
English,anthropic,610," 1. Muhammad's first revelations
2. Accession of Heraclius
3. Era of the Persian-Sassanid war
4. Death of Pope Boniface IV 
5. Pepin of Landen becomes Mayor of the Palace in Austrasia", 1. Muhammad's first revelations,2. Accession of Heraclius,3. Era of the Persian-Sassanid war,4. Death of Pope Boniface IV ,5. Pepin of Landen becomes Mayor of the Palace in Austrasia,,
English,anthropic,610," 1. Muhammad receives first revelation in a cave on Mount Hira
2. Heraclius becomes Byzantine Emperor
3. Emperor Yang of Sui China builds the Grand Canal
4. Pope Boniface IV consecrates the Pantheon in Rome
5. The Visigoths conquer Tarraconense (Hispania) ", 1. Muhammad receives first revelation in a cave on Mount Hira,2. Heraclius becomes Byzantine Emperor,3. Emperor Yang of Sui China builds the Grand Canal,4. Pope Boniface IV consecrates the Pantheon in Rome,5. The Visigoths conquer Tarraconense (Hispania) ,,
English,anthropic,800," 1. Charlemagne crowned Holy Roman Emperor
2. Abbasid Caliph Harun al-Rashid dies 
3. Battle of the Bay of Biscay 
4. Vikings begin raiding western Europe
5. The Pala Empire established in Bengal", 1. Charlemagne crowned Holy Roman Emperor,2. Abbasid Caliph Harun al-Rashid dies ,3. Battle of the Bay of Biscay ,4. Vikings begin raiding western Europe,5. The Pala Empire established in Bengal,,
English,anthropic,800," 1. Coronation of Charlemagne 
2. Battle of Roncevaux Pass
3. Abbasid Caliph Harun al-Rashid begins reign 
4. Aachen Palace completed
5. Felix crowns Louis the Pious as King of Aquitania", 1. Coronation of Charlemagne ,2. Battle of Roncevaux Pass,3. Abbasid Caliph Harun al-Rashid begins reign ,4. Aachen Palace completed,5. Felix crowns Louis the Pious as King of Aquitania,,
English,anthropic,800," 1. Coronation of Charlemagne 
2. The Battle of Roncevaux Pass
3. Japanese embassy to China
4. Wulfred becomes Archbishop of Canterbury
5. The Pala Empire is founded in Bengal", 1. Coronation of Charlemagne ,2. The Battle of Roncevaux Pass,3. Japanese embassy to China,4. Wulfred becomes Archbishop of Canterbury,5. The Pala Empire is founded in Bengal,,
English,anthropic,800," 1. Charlemagne crowned Holy Roman Emperor
2. Battle of Roncevaux Pass 
3. Construction of the Chang'an (Xi'an) City Wall 
4. The Pala Empire arises in Bengal
5. The Khazar-Arab Wars", 1. Charlemagne crowned Holy Roman Emperor,2. Battle of Roncevaux Pass ,3. Construction of the Chang'an (Xi'an) City Wall ,4. The Pala Empire arises in Bengal,5. The Khazar-Arab Wars,,
English,anthropic,800," 1. Charlemagne crowned Holy Roman Emperor 
2. a solar eclipse
3.Eighth ecumenical council at Aachen
4.Harun al-Rashid builds House of Wisdom in Baghdad
5.Pope Leo III restores the Roman Catholic Church", 1. Charlemagne crowned Holy Roman Emperor ,2. a solar eclipse,3.Eighth ecumenical council at Aachen,4.Harun al-Rashid builds House of Wisdom in Baghdad,5.Pope Leo III restores the Roman Catholic Church,,
