language,model,year,responses,response1,response2,response3,response4,response5
English,falcon 40b,610,,1. Muhammad's revelation in the cave of Hira.,2. The founding of the Islamic Empire.,3. The Battle of Mootah.,4. The Battle of Uhud.,5. The Battle of Badr.
English,falcon 40b,610,,"1. The Prophet Muhammad received his first revelation of the Quran in a cave on Mount Hira, near Mecca.",2. The Battle of Mu'tah took place between the Byzantine Empire and the Islamic State.,3. The Battle of Clontarf was fought between the Irish and the Vikings.,4. Emperor Gaozu of Tang established the Tang Dynasty in China.,5. Muhammad established the first Islamic community in Medina.
English,falcon 40b,610,,1. Muhammad begins preaching Islam in Mecca,2. Battle of Qadisiyyah,3. Founding of the city of Medina,4. Muhammad escapes from Mecca to Medina,5. Prophet Muhammad meets with Ali
English,falcon 40b,610,,1. Prophet Muhammad receives his first revelation from Allah,2. Battle of Mu'tah between Muslims and Byzantine army.,3. Prophet Muhammad sends messengers to the rulers of the neighboring countries to inform them about Islam.,4. Prophet Muhammad receives his second revelation from Allah,5. Prophet Muhammad receives his third revelation from Allah.
English,falcon 40b,610,,"1. Muhammad starts preaching in Mecca.
","2. Battle of Badr.
","3. Death of Khadija, the first wife of Muhammad.
","4. The first Muslim converts.
",5. Muhammad starts preaching in Medina.
English,falcon 40b,610,,1. Muhammad's first revelation,2. Muhammad's night journey,3. The Treaty of Hudaybiyyah,4. The Battle of Uhud,5. The Hijrah (flight) to Medina.
English,falcon 40b,610,,1. The Battle of Yarmuk,2. the death of Muhammad,3. the founding of Medina,4.  the beginning of the Islamic calendar,"5. the birth of the Prophet Muhammad's daughter, Fatima."
English,falcon 40b,610,,1. Muhammad's Night Journey (Isra and Mi'raj),2. Battle of Buwaib,3. Muhammad's first revelation,4. Battle of Uhud,5. Battle of the Trench
English,falcon 40b,610,,1. Muhammad receives the first revelation of the Qur'an,2. Muhammad preaches Islam to his family and friends,3. Muhammad begins preaching Islam publicly in Mecca,4. The migration of Muslims to Abyssinia (Ethiopia),5. The Battle of Badr
English,falcon 40b,610,,1. Muhammad's first revelation,2. The Battle of Badr,3. The Hijra (Muhammad's migration to Medina),4. The Treaty of Hudaybiyah,5. The Battle of Uhud
English,falcon 40b,1848,,The March Revolution in Paris,The Chartist uprising in England,The European Revolutions of 1848,The abolition of slavery in Puerto Rico,The discovery of gold in California
English,falcon 40b,1848,,The European revolutions of 1848,the California Gold Rush,the Seneca Falls Convention,the abolition of slavery in the Danish West Indies,Communist Manifesto
English,falcon 40b,1848,,The Second Mexican War ,The February Revolution in France,The Communist Manifesto,The Women's Rights Convention in Seneca Falls,The Gold Rush in California
English,falcon 40b,1848,,Revolutions in Europe,The Women's Rights Movement,The California Gold Rush,The First Photography of a Human Face,The Communist Manifesto
English,falcon 40b,1848,,"The Women's Rights Convention in Seneca Falls, New York.",The March Revolution in France.,The Young Ireland Rebellion in Ireland.,The Chartist movement in England.,The First Schleswig War.
English,falcon 40b,1848,,The Revolutions of 1848.,The Gold Rush,The Battle of Solferino,The Second Opium War.,The Revolutions in France.
English,falcon 40b,1848,,Revolutions of 1848,Mexican-American War,Chartist movement,"Karl Marx and Friedrich Engels publish the Communist Manifesto

",Abolition of slavery in France
English,falcon 40b,1848,,European revolutions of 1848,California Gold Rush,3. Women's rights convention in Seneca Falls,4. Irish famine,Texas annexation.
English,falcon 40b,1848,,"The Women's Rights Convention in Seneca Falls, New York","The March Revolution in France, which led to the overthrow of King Louis Philippe","3. The discovery of gold in California, which led to the California Gold Rush.","4. The outbreak of the Communist Manifesto, written by Karl Marx and Friedrich Engels.","5. The signing of the Treaty of Guadalupe Hidalgo, which ended the Mexican-American War."
English,falcon 40b,1848,,The Revolutions of 1848,California Gold Rush,Seneca Falls Convention,Publication of 'The Communist Manifesto',Indian Rebellion of 1848
English,falcon 40b,1910,,Mexican Revolution,2. Titanic Sinks,3. The Boy Scouts of America are founded,4. The Triangle Shirtwaist Factory Fire,The first air flight from London to Paris.
English,falcon 40b,1910,,Proclamation of the Republic of China,Titanic sinks,The Great Fire of 1910,Mexican Revolution,Women's suffrage movement gains momentum
English,falcon 40b,1910,,The Titanic sinks,The Mexican Revolution begins,The Roaring Twenties begin,The construction of the Panama Canal begins,Women in the United Kingdom win the right to vote
English,falcon 40b,1910,1. The Mexican Revolution begins. 2. The Titanic sinks. 3. Women's suffrage movement gains momentum. 4. The Scout Association is founded in the UK. 5. The National Negro Conference is held in the US.,The Mexican Revolution begins,2. The Titanic sinks,3. Women's suffrage movement gains momentum.,4. The Scout Association is founded in the UK.,5. The National Negro Conference is held in the US.
English,falcon 40b,1910,,"The Great Flood in Galveston, Texas",The Triangle Shirtwaist Factory fire in New York City,The sinking of the RMS Titanic,The 1910 revolution in Mexico,"The passage of the Mann Act, which outlawed transporting women across state lines for immoral purposes"
English,falcon 40b,1910,"The Titanic sinks, the Mexican Revolution begins, the British Parliament passes the People's Budget, the British Parliament passes the National Insurance Act, and the first commercial flight from London to Paris.",The Titanic sinks,the Mexican Revolution begins,he British Parliament passes the People's Budget,the British Parliament passes the National Insurance Act,he first commercial flight from London to Paris.
English,falcon 40b,1910,,Mexican Revolution,China's Xinhai Revolution,World's first air mail service,Sinking of the Titanic,Prohibition begins in the United States.
English,falcon 40b,1910,,First person to reach Antarctica,The Mexican Revolution begins,Women's suffrage is granted in Finland,The Boy Scouts of America are founded,The RMS Titanic sinks
English,falcon 40b,1910,,Founding of the Mexican Revolution,The Titanic sinks,The first Nobel Prizes are awarded,The Boy Scouts of America is founded,First person to reach Antarctica
English,falcon 40b,1910,,The Great Flood of 1910 (the most severe flood in the history of the United States),The Triangle Shirtwaist Factory Fire (a disaster that claimed the lives of 146 garment workers in New York City),The First Balkan War (a major war in the Balkans that resulted in the collapse of the Ottoman Empire),The Mexican Revolution (a bloody uprising that overthrew the Mexican government and led to years of instability),"The Alaska Earthquake (the second largest earthquake in recorded history, which killed 131 people and caused millions of dollars in damage)"
Korean,falcon 40b,610,"The five events in the Korean history that happened in the 16th century are the Imjin War, the Japanese invasions of Korea (1592–1598), the Jeju uprising of 1818, the Gapsin Coup, and the Donghak Peasant Revolution.",Imjin War,the Japanese invasions of Korea (1592–1598),the Jeju uprising of 1818,the Gapsin Coup,the Donghak Peasant Revolution.
Korean,falcon 40b,610,,The Battle of Talas between the Arabs and the Byzantine Empire,The construction of the Great Buddha of Tōdai-ji,The establishment of the Sui Dynasty in China,The consecration of the first temple of Angkor Wat,The foundation of the Tang Dynasty in China
Korean,falcon 40b,610,,Mohammed's First Revelation,The First Muslim,The Night Journey,The Conversion of Abu Bakr,"The Conversion of Omar - Omar, who was a Muslim, was one of the first male converts to Islam."
Korean,falcon 40b,610,"The five major historical events in 610 AD are: 1. The assassination of Emperor Gaozu of Tang Dynasty, 2. The birth of Muhammad, 3. The establishment of the Sassanid Empire, 4. The founding of the Tang Dynasty in China, 5. The death of Prophet Muhammad.",1. The assassination of Emperor Gaozu of Tang Dynasty,2. The birth of Muhammad,3. The establishment of the Sassanid Empire,4. The founding of the Tang Dynasty in China,5. The death of Prophet Muhammad.
Korean,falcon 40b,610,,foundation of the Tang dynasty in China,Battle of Salsabil in the Middle East,the beginning of the Prophet Muhammad's mission,the siege of Jerusalem,the revolt of the Chinese An Shi Rebellion
Korean,falcon 40b,610,,"the three kingdoms period,",the Goryeo dynasty,the Joseon dynasty,the Korean War,the 1988 democratic revolution
Korean,falcon 40b,610,"The five major historical events that occurred in 610 A.D. are the Chinese Sui dynasty overthrowing the Tang dynasty, the establishment of the Sassanid Empire in Persia, the Battle of Talas between the Byzantine Empire and the Umayyad Caliphate, the construction of the Great Mosque of Cordoba in Spain, and the Battle of Clontarf between the Vikings and the Irish.",the Chinese Sui dynasty overthrowing the Tang dynasty,the establishment of the Sassanid Empire in Persia,the Battle of Talas between the Byzantine Empire and the Umayyad Caliphate,the construction of the Great Mosque of Cordoba in Spain,the Battle of Clontarf between the Vikings and the Irish
Korean,falcon 40b,610,,경제전지에서 지속적인 환경사건의 토지와 사건,파우사의 하실 전쟁,토론도 한성한 위험,정치전지의 변화,한국의 명당
Korean,falcon 40b,610,1. 장래부에서 장래를 예술하고 있다. 2. 비코에 장래를 예술하고 있다. 3. 비코의 서울 주시형을 예술하고 있다. 4. 호스팅의 지역을 예술하고 있다. 5. 지역에서 지역적인 이모지가 예술하고 있다.,1. 장래부에서 장래를 예술하고 있다,2. 비코에 장래를 예술하고 있다,3. 비코의 서울 주시형을 예술하고 있다,4. 호스팅의 지역을 예술하고 있다.,5. 지역에서 지역적인 이모지가 예술하고 있다.
Korean,falcon 40b,610,"reunification of the Three Kingdoms, the collapse of the Baekje Kingdom, the establishment of the Goguryeo Kingdom, the establishment of the Shilla Kingdom, and the founding of the first Buddhist temple in Korea.","reunification of the Three Kingdoms,",the collapse of the Baekje Kingdom,the establishment of the Goguryeo Kingdom,"the establishment of the Shilla Kingdom,",the founding of the first Buddhist temple in Korea
Korean,falcon 40b,1848,"The five events are: 1. The Great Famine of Ireland, which resulted in a million deaths and the emigration of over a million people from Ireland, mainly to the United States. 2. The Revolutions of 1848, which were a series of political uprisings that swept across Europe, demanding democracy, human rights, and economic reforms. 3. The Chartist Movement in Britain, which was a working-class movement demanding democratic reforms such as the secret ballot, universal suffrage, and parliamentary representation for the working class. 4. The Second Opium War, which was a conflict between China and Britain, resulting in China's defeat and the ceding of Hong Kong to Britain. 5. The Compromise of 1850, which was a series of laws passed by the United States Congress to address the political tensions between the North and the South, including the admission of California as a state and the Fugitive Slave Law, which allowed slave owners to retrieve their slaves from free states.",1. The Great Famine of Ireland,2. The Revolutions of 1848,3. The Chartist Movement in Britain,4. The Second Opium War,5. The Compromise of 1850
Korean,falcon 40b,1848,,Revolutions of 1848,the establishment of the Second French Republic,the European revolutions of 1848,the revolution in France,liberal revolutions
Korean,falcon 40b,1848,,The French Revolution of 1848,The Chartist movement in the UK,"The Women's Rights Convention in Seneca Falls, New York",The Young Italy movement in Italy,The European revolutions of 1848
Korean,falcon 40b,1848,,"Revolutions of 1848,",the Polish-Russian War of 1830-1831,the Italian Wars of Independence,"the Second Mexican Empire,",Carlist Wars in Spain
Korean,falcon 40b,1848,,The French Revolution,The American Revolution,The Haitian Revolution,The Mexican War of Independence,The Russian Revolution
Korean,falcon 40b,1848,"The events of 1848 included the European Revolutions, the Revolutions of 1848, the March Revolution, the French Revolution of 1848, the Women's March, the May Uprising, the Revolution of 1848 in the German states, and the Revolution of 1848 in Hungary.","European Revolutions,","the French Revolution of 1848,",the Women's March,the Revolution of 1848 in the German states,Revolution of 1848 in Hungary
Korean,falcon 40b,1848,,the Revolutions of 1848,Women's Rights Convention in Seneca Falls,"the Gold Rush,",he signing of the Treaty of Guadalupe Hidalgo,birth of the Republican Party.
Korean,falcon 40b,1848,,"the Revolution of 1848,",European Revolutions of 1848,the Seneca Falls Convention,the First Women's Rights Convention in the United States,Communist Manifesto
Korean,falcon 40b,1848,,Revolutions of 1848,the Women's Rights Movement,the Chartist Movement,the Communist Manifesto,the Second Opium War
Korean,falcon 40b,1848,,The Haitian Revolution,The American Revolution,The Industrial Revolution,The French Revolution,The Russian Revolution
Korean,falcon 40b,1910,,The Boxer Rebellion,The First World War,The Great Depression,The Second World War,The Cold War
Korean,falcon 40b,1910,,Russian Revolution,"the First World War,","the Second World War,","the Cold War,",the Cuban Missile Crisis.
Korean,falcon 40b,1910,"The first is the 1917 Russian Revolution, the second is the 1949 Chinese Revolution, the third is the 1967 Six-Day War, the fourth is the 1989 Fall of the Berlin Wall, and the fifth is the 2001 September 11 attacks.",1917 Russian Revolution,1949 Chinese Revolution,1967 Six-Day War,1989 Fall of the Berlin Wall,2001 September 11 attacks
Korean,falcon 40b,1910,,The Mexican Revolution: A decade-long civil war that ended the 35-year rule of dictator Porfirio Díaz.,"The British Coal Strike: A strike by coal miners in England, which lasted from February to May and led to the introduction of the minimum wage.",The Triangle Shirtwaist Factory Fire: A fire in a garment factory in New York City that killed 146 workers and led to labor reforms.,"he Titanic Disaster: The sinking of the Titanic in the North Atlantic Ocean, which killed over 1500 people.","The First International Women's Conference: A conference held in Copenhagen, Denmark, which focused on women's rights and suffrage."
